Depth,Width,Length,Mass,Skull,Sex
8.26,9.21,25.92,73.3,30.66,1
8.54,8.76,24.99,75.1,31.38,1
8.39,8.78,26.07,70.25,31.25,1
7.78,9.3,23.48,65.5,30.29,0
8.71,9.84,25.47,74.9,31.85,1
7.28,9.3,22.25,63.9,30,0
8.74,9.28,25.35,75.1,31.77,1
8.2,9.01,22.78,64,30.05,0
7.67,9.31,24.61,67.33,30.33,0
8.78,8.83,25.72,76.4,30.82,1
8.15,8.67,24.66,71.5,30.03,0
8.62,9.28,24.5,78.2,31.98,1
7.65,9.11,23.93,73.4,31.83,0
7.96,9.31,25.62,77,31.73,1
8.17,8.49,23.15,65,29.9,0
8.13,8.88,25,75.2,29.81,0
8.19,9.98,25.4,75.7,33.3,1
8.49,8.81,25.93,78.4,31.15,1
8.35,9.57,24.4,70.6,31.39,1
8.53,9.71,26.3,74.7,32,1
8.07,8.38,23.62,70,30.89,1
8.23,10.31,26.66,75.4,31.55,1
7.86,9.21,23.87,75.2,30.22,0
8.42,9.3,24.98,74.5,31.83,1
8.48,9.64,25.4,62.2,31.42,0
8.22,9.09,23,72.3,32.39,0
8.18,9.44,23.44,74,30.77,0
8.23,9.67,24.86,73.73,32.02,1
8.44,9.19,26.14,73.97,30.24,0
7.21,8.21,23.13,66.8,30.57,0
8.88,9.58,26.19,75.18,29.77,1
8.58,10.63,24.75,78.3,31.08,0
8.36,9.63,24.92,70.6,30.55,0
8.2,8.68,24.24,72.1,31.72,1
8.42,10.24,25.4,70.2,31.19,1
8.6,8.4,25.5,74,32,1
7.96,8.62,24.55,69.67,31.46,1
7.58,10,23.42,69.4,31.07,0
8.05,9.35,24.46,77.6,31.58,0
8.34,8.62,23.92,60.17,29.82,1
7.69,9.01,23.31,70.5,30.82,0
8.88,9.22,25.68,67.5,31.12,1
8.55,9.03,26.55,75.95,31.31,1
8.42,9.49,26.3,79.5,30.2,0
8.54,8.96,25.73,77.5,31.09,1
8.54,9.4,24.29,79.2,32.06,1
7.57,9.32,23.48,65.3,30.83,0
8.4,8.2,25.7,69,30.7,1
8.11,8.37,24.07,65.6,28.97,0
8.19,9.38,24.93,67.83,30.64,0
8.46,9.69,25.3,75.7,31.54,0
8.58,9.63,26.12,72.6,30.88,1
7.8,8.74,23.89,58.8,29.85,0
8.1,8.44,23.75,70.9,32,0
8.7,8.91,25.46,66.3,29.91,0
8.82,8.6,25.46,73.9,31.4,1
8.39,9.12,26.58,71.35,31.06,1
7.89,9.07,26.12,73.9,31.74,1
7.93,8.72,24.93,67.2,30.09,1
8.86,10.02,25.04,73,32.26,1
9,9.4,25.5,74,31.4,1
8,8.9,23.6,63.7,29.2,0
8.2,9,25,72.8,29.2,0
8.7,9.8,25.6,76.3,31.7,1
7.8,8,23.1,66,30.8,0
8.2,9.9,24.4,74,32.3,1
8.2,9.5,24,76.3,32.3,1
8.6,9.6,23.7,71.3,31.8,1
7.3,9.9,22.4,65,31.5,0
8.4,9.4,25,73.8,31.1,1
8,9.3,23.4,69,30.6,0
8.3,9.2,24.3,72.1,30.6,1
8.6,9.8,26,80.9,33.2,1
8.3,9,25.7,68.5,29.3,0
8.2,9.7,24.6,70,29.8,0
8.5,9.6,25.5,75.9,31.2,1
8.2,9.3,24.9,70,30.6,1
8.3,8.2,23.7,69,29.9,0
8.8,9.7,25.3,75.8,31.3,1
8.2,8.1,25.9,69.7,31.6,1
8.8,9.8,27.3,65.5,28.9,1
7.6,8.3,24.8,67.9,31.4,0
8.8,9.7,25.5,81.5,31.2,0
8.56,9.2,26.62,74,29.86,1
8.92,9.22,24.78,71.5,31.67,1
7.74,9.27,25.05,66.1,30.71,0
7.91,9.38,25.73,69.8,29.97,0
8.72,9.25,24.3,68.5,30.46,1
7.55,8.62,23.55,70,29.19,0
8.43,9.27,26.32,66.75,30.12,1
8.2,9.28,26.27,76.5,32.23,1
7.62,9.88,25.71,69.3,30.26,0
8.51,9.64,25.91,67.8,29.73,1
8.21,9.21,23.6,75.5,30.28,0
7.86,9.39,23.36,73.25,30.69,0
8.58,9.73,27.04,71.9,30.52,1
8.59,9.97,25.88,79.55,30.12,1
7.72,8.97,22.88,66.75,30.15,0
7.58,9.04,24.02,73.2,31.63,0
8.4,8.4,23.9,72.35,30.8,0
7.9,8.48,22.78,64,28.82,0
8.12,9.67,24.9,73.5,31.01,1
7.92,9.16,23.92,68.9,30.77,0
7.96,9.09,24.33,73.8,30.25,0
8.1,9.1,25.9,77.4,31.2,1
7.5,9.57,24.6,61.4,29.2,0
8.15,9.72,26.05,73.4,30.8,1
7.71,8.58,25.06,61.2,29.09,0
8.05,9.25,25.2,69.65,31.05,0
8.57,8.97,25.15,77,29.64,0
8.69,9.43,24.94,72.2,31.15,0
8.02,8.62,24.09,76.55,31.73,0
8.57,10.82,23.68,68.25,30.27,0
8.33,9.27,25.78,71.5,30.93,1
8.43,9.23,25.28,77.53,31.97,1
8.2,9.06,24.22,68.95,30.36,1
8.3,9.28,23.92,78.8,32.36,0
8.7,9.12,24.62,77,31.99,1
7.96,9.8,25.07,68,30.61,1
7.9,9.3,23.6,63.9,30.3,0
7.63,8.56,24.29,70.45,29.9,0
7.9,8,23,66,29.7,0
