GPA,HSGPA,SATV,SATM,SEX,HU,SS,NS,Major
1.93,3.01,590,650,1,0,0,1,NS
1.97,2.61,430,560,0,1,0,0,HU
2.03,2.53,500,560,0,0,1,0,SS
2.04,2.89,540,580,1,0,1,0,SS
2.09,3.01,410,450,0,0,1,0,SS
2.1,3.65,400,480,1,0,0,1,NS
2.12,3.15,570,460,0,0,0,1,NS
2.12,2.86,370,400,0,1,0,0,HU
2.16,2.9,470,670,0,0,0,1,NS
2.16,2.64,510,650,1,1,0,0,HU
2.19,3.24,410,490,0,0,0,1,NS
2.19,2.88,680,740,1,0,0,1,NS
2.22,3,670,640,0,0,0,1,NS
2.23,2.82,600,710,0,1,0,0,HU
2.23,2.7,550,600,0,1,0,0,HU
2.24,3.75,520,600,0,0,0,1,NS
2.24,3.37,570,590,1,0,0,1,NS
2.24,2.67,420,540,0,0,0,1,NS
2.25,3.2,380,530,1,0,1,0,SS
2.26,3.62,480,580,0,1,0,0,HU
2.27,3.1,500,660,0,1,0,0,HU
2.29,3.3,630,450,0,1,0,0,HU
2.29,3.49,500,600,0,0,0,1,NS
2.32,3.2,730,650,1,1,0,0,HU
2.32,3.01,470,550,0,0,0,1,NS
2.32,4,530,530,1,0,0,1,NS
2.33,3.9,590,630,0,1,0,0,HU
2.35,2.99,650,600,1,0,1,0,SS
2.35,2.99,450,530,0,0,1,0,SS
2.36,2.7,520,370,1,1,0,0,HU
2.38,3.7,260,580,1,0,0,1,NS
2.39,3.04,640,640,0,1,0,0,HU
2.39,2.66,580,570,1,1,0,0,HU
2.4,2.76,400,580,1,0,1,0,SS
2.41,3.12,670,620,1,1,0,0,HU
2.41,3.2,560,590,0,1,0,0,HU
2.41,3.11,370,440,0,1,0,0,HU
2.42,3.03,630,610,0,1,0,0,HU
2.42,2.9,570,530,0,1,0,0,HU
2.44,3.15,690,730,1,1,0,0,HU
2.44,2.97,580,670,1,1,0,0,HU
2.45,3.03,520,650,0,0,1,0,SS
2.46,3.44,540,670,0,0,0,1,NS
2.46,3.1,640,750,0,0,0,1,NS
