PERSON_,Wt,Ht,Age,Sex,Waist,Finger,HandBreadth,HeadCirc,HipBreadth
Person #33053,277,1284,100,2,556,52,62,515,263
Person #33060,203,1204,89,2,504,54,57,518,222
Person #33070,287,1278,89,1,571,56,66,522,230
Person #34,429,1588,147,1,678,67,81,533,301
Person #34003,304,1346,103,1,569,62,71,528,242
Person #34006,243,1279,106,1,516,57,65,519,225
Person #34010,754,1867,179,1,713,80,88,576,336
Person #34013,431,1442,151,1,683,62,71,539,282
Person #34016,496,1627,165,1,676,80,84,562,294
Person #34017,554,1658,151,2,671,73,77,547,345
Person #34020,400,1539,178,2,626,61,69,535,297
Person #34023,476,1597,175,2,640,66,71,534,319
Person #34027,602,1682,167,1,760,82,83,559,307
Person #34030,470,1556,154,1,669,66,79,544,289
Person #34033,367,1508,158,1,608,70,73,546,263
Person #34036,461,1536,174,2,698,68,71,511,310
Person #34039,691,1620,178,2,774,64,79,539,404
Person #34042,472,1620,179,2,673,73,75,554,337
Person #34048,589,1579,175,2,781,69,79,553,360
Person #34053,573,1702,177,1,661,70,88,549,320
Person #34076,596,1634,178,2,755,73,80,586,351
Person #35003,298,1327,104,2,599,58,67,531,245
Person #35006,380,1332,117,2,567,53,61,518,256
Person #35010,241,1261,105,1,551,57,65,519,221
Person #35016,233,1269,117,1,537,51,63,491,224
Person #35022,224,1212,86,1,529,49,63,525,212
Person #35031,260,1306,96,2,541,55,62,517,229
Person #35034,227,1234,86,2,520,51,60,495,219
Person #35040,268,1284,106,2,528,56,66,515,243
Person #35043,338,1415,138,2,567,61,67,540,265
Person #35052,224,1217,99,2,546,51,62,504,226
Person #35055,324,1331,129,1,596,60,73,528,252
Person #35058,406,1546,142,1,623,68,77,569,266
Person #35061,296,1398,134,1,529,61,70,530,235
Person #35067,307,1334,138,1,574,54,71,515,252
Person #35070,400,1505,145,2,662,69,75,555,277
Person #35072,668,1670,153,1,794,71,84,558,340
Person #35075,611,1624,174,1,756,71,84,564,331
Person #35078,563,1577,175,1,798,66,81,550,310
Person #36003,312,1422,148,1,586,62,74,526,246
Person #36009,525,1529,144,2,681,66,75,551,348
Person #36012,571,1657,160,2,661,69,77,558,351
Person #36015,452,1581,161,2,648,68,77,543,278
Person #36019,449,1530,163,1,619,63,81,546,286
Person #36022,587,1583,178,1,775,64,82,579,321
Person #36025,696,1759,163,1,763,77,90,572,331
Person #36028,488,1595,172,1,667,66,81,564,298
Person #36033,357,1511,148,1,636,61,73,538,259
Person #36036,812,1768,177,1,873,80,92,592,371
Person #38006,333,1398,138,2,608,60,69,511,260
Person #38015,238,1245,88,1,573,53,67,526,225
Person #38018,288,1349,100,1,590,55,68,537,245
Person #38021,526,1669,140,2,630,76,75,545,294
Person #38024,289,1411,133,2,575,60,65,521,253
Person #38027,313,1362,123,2,578,54,63,519,259
Person #38030,279,1337,120,2,567,54,66,520,245
Person #38033,328,1435,135,1,591,55,70,522,256
Person #38036,429,1438,128,1,721,55,73,541,277
Person #38039,323,1346,97,1,627,56,65,533,267
Person #38042,248,1312,104,1,522,52,64,496,215
Person #38045,233,1251,91,1,522,57,64,505,283
Person #38056,283,1336,109,2,554,57,67,535,231
Person #38059,278,1372,112,2,538,60,64,510,240
Person #38062,289,1408,128,2,516,60,69,522,241
Person #38065,331,1440,128,2,590,63,68,519,270
Person #38068,231,1239,103,2,534,58,59,491,217
Person #38071,246,1264,95,2,500,53,62,535,226
Person #38074,223,1195,86,2,547,52,61,513,219
Person #40,508,1618,166,1,701,72,80,549,303
Person #40036,542,1634,163,1,672,71,86,553,302
Person #40039,436,1474,146,1,642,62,76,525,288
Person #40043,517,1643,149,2,664,68,79,530,325
Person #40046,524,1667,155,2,643,74,78,563,294
Person #40049,411,1479,158,2,673,72,73,526,295
Person #40053,426,1506,162,1,697,65,80,534,271
Person #40056,444,1593,155,1,627,70,78,546,290
Person #40061,399,1516,143,2,625,68,75,528,281
Person #40064,396,1512,146,2,638,62,75,515,283
Person #40067,317,1469,144,2,581,65,69,528,254
Person #40070,493,1551,160,2,729,63,72,546,318
Person #40072,342,1453,148,1,622,63,72,533,264
Person #40075,517,1723,167,1,664,73,87,535,299
Person #4026,214,1207,97,1,518,51,63,521,220
Person #4032,430,1622,171,1,585,64,80,521,275
Person #4040,490,1628,178,1,640,79,79,581,273
Person #4042,546,1738,170,1,708,70,83,561,319
Person #4046,374,1514,151,2,610,66,71,559,265
Person #4049,298,1343,114,2,571,57,64,531,245
Person #4052,340,1409,127,2,596,59,61,523,253
Person #4055,225,1254,113,2,523,51,63,492,224
Person #4063,428,1546,142,2,653,69,74,532,291
Person #4066,274,1285,102,2,540,56,62,508,263
Person #41002,273,1238,90,2,561,54,61,524,246
Person #41005,259,1300,113,2,511,52,65,493,242
Person #41008,230,1219,84,2,508,50,63,512,228
Person #41011,306,1355,103,2,552,62,71,510,247
Person #42003,291,1399,145,1,560,64,70,566,233
Person #42006,367,1450,133,1,603,67,72,522,279
Person #42009,329,1368,137,1,592,67,67,559,265
Person #42012,241,1201,106,1,573,58,70,526,231
Person #42015,240,1274,85,1,561,50,61,536,222
Person #42018,372,1495,144,1,626,68,73,548,260
Person #42021,316,1387,115,1,593,59,70,548,237
Person #42024,284,1292,102,1,572,54,68,522,259
Person #42026,213,1176,87,1,507,51,63,514,212
Person #47,349,1550,163,2,577,67,69,536,272
Person #49,340,1443,151,1,616,65,71,524,245
Person #5003,433,1602,158,2,585,71,78,539,278
Person #5009,224,1181,99,2,556,54,57,488,245
Person #5012,427,1536,166,2,623,68,66,533,297
Person #5018,304,1418,115,1,567,60,68,510,250
Person #5021,182,1119,91,1,472,45,60,515,206
Person #5024,483,1536,132,1,737,62,74,539,299
Person #5027,410,1374,130,1,743,58,71,529,257
Person #5030,245,1315,109,1,526,52,60,513,222
Person #5042,341,1419,110,1,582,65,70,532,258
Person #5045,448,1477,128,1,690,63,79,543,270
Person #5048,276,1334,110,1,571,58,71,514,242
Person #5052,254,1272,108,2,524,58,62,516,230
Person #5055,262,1301,108,2,571,53,62,497,243
Person #5058,265,1426,136,2,577,60,67,513,256
Person #5064,230,1236,89,2,504,57,63,506,229
Person #5067,207,1220,128,2,487,57,59,490,227
Person #5070,242,1223,88,2,544,49,63,507,233
Person #5073,428,1384,123,2,764,64,66,535,294
Person #53,371,1422,145,2,641,59,69,536,284
Person #6006,431,1583,155,2,664,62,72,552,295
Person #6011,436,1508,140,2,728,58,67,518,296
Person #6013,383,1451,137,1,603,52,72,552,263
Person #6021,434,1630,161,2,633,68,70,536,309
Person #6024,310,1415,118,2,585,57,70,533,253
Person #6027,403,1536,157,2,636,65,70,512,279
Person #6030,369,1489,134,2,646,68,70,535,288
Person #6036,472,1599,148,1,671,62,74,550,306
Person #6039,645,1545,136,1,852,66,80,559,365
Person #6042,427,1531,139,1,613,65,75,529,286
Person #6044,406,1386,91,1,670,52,68,532,288
Person #6047,390,1448,120,1,643,63,72,509,288
