PERSON_,Wt,Ht,Age,Sex,Waist,Finger,HandBreadth,HeadCirc,HipBreadth
Person #1002,351,1363,120,1,611,58,66,528,253
Person #10043,461,1584,160,2,657,66,74,539,306
Person #10046,560,1667,159,2,706,73,78,534,332
Person #10049,680,1597,171,2,876,72,80,529,389
Person #10053,480,1506,149,2,692,67,80,547,320
Person #10058,530,1639,162,2,674,76,76,560,325
Person #10061,461,1466,162,2,622,70,77,542,344
Person #10063,434,1532,151,1,665,64,86,527,294
Person #10066,700,1707,166,1,741,84,97,569,332
Person #10069,495,1506,166,1,734,66,82,527,317
Person #10072,530,1669,177,1,697,68,89,553,306
Person #10075,381,1466,163,1,645,62,76,537,267
Person #1008,306,1305,105,1,624,58,64,537,240
Person #1009,320,1367,109,1,576,56,65,524,257
Person #1011,282,1304,120,1,567,57,65,526,235
Person #1015,309,1383,134,2,593,57,62,522,255
Person #1020,244,1253,106,2,537,50,65,517,229
Person #1024,355,1480,143,2,647,61,72,516,283
Person #1029,196,1115,100,2,505,52,64,493,222
Person #1031,380,1366,106,2,702,54,65,530,279
Person #1032,211,1239,96,2,516,54,60,503,217
Person #1033,352,1498,136,2,577,61,73,538,259
Person #1036,526,1508,137,2,760,63,71,552,330
Person #1037,545,1506,146,2,903,66,67,542,352
Person #11043,571,1734,177,1,684,76,86,562,317
Person #11046,457,1624,176,1,634,73,84,517,290
Person #12,351,1493,162,2,641,66,77,538,289
Person #12003,417,1503,162,1,609,67,81,519,281
Person #12006,437,1440,159,1,630,65,79,544,278
Person #12009,451,1591,177,1,618,72,88,548,278
Person #12012,471,1512,149,1,695,70,87,550,299
Person #12015,447,1469,147,2,703,64,77,541,318
Person #12018,535,1598,150,2,626,75,79,548,335
Person #12021,265,1341,157,2,530,60,72,481,246
Person #12034,243,1240,99,2,532,53,61,497,229
Person #12037,391,1476,139,2,646,68,73,525,282
Person #12040,375,1383,133,2,707,63,64,528,275
Person #12041,295,1275,111,2,612,61,62,535,242
Person #12045,295,1327,106,2,604,60,67,517,241
Person #12051,533,1520,130,2,682,69,84,537,306
Person #12054,327,1341,116,2,598,56,68,523,264
Person #12068,564,1453,134,1,868,62,76,559,320
Person #12071,254,1294,88,1,557,51,65,521,210
Person #13017,474,1640,179,1,658,74,84,546,284
Person #13023,510,1579,175,2,705,74,79,543,337
Person #13028,294,1378,132,1,572,62,69,552,243
Person #13063,307,1336,106,1,577,59,67,512,246
Person #13066,350,1412,147,1,589,60,70,526,257
Person #13072,310,1394,116,1,567,62,67,552,244
Person #13075,329,1391,122,1,570,62,74,520,259
Person #14,558,1618,167,2,723,73,80,549,325
Person #14010,508,1635,176,1,687,73,83,546,294
Person #14016,460,1631,176,1,663,69,81,546,295
Person #14017,427,1622,177,2,631,67,75,552,310
Person #14053,548,1607,172,1,685,74,87,546,312
Person #14056,377,1497,143,1,612,68,75,540,257
Person #14059,381,1456,157,1,675,63,74,526,267
Person #14062,375,1444,158,1,623,56,73,512,255
Person #14065,490,1636,157,1,711,76,83,561,293
Person #14068,355,1456,173,1,608,60,72,533,267
Person #14071,518,1674,175,1,681,71,78,542,292
Person #14074,334,1487,141,1,588,64,73,541,255
Person #15,685,1577,160,2,876,62,75,517,394
Person #15006,240,1314,118,2,501,62,61,525,222
Person #15009,308,1445,122,2,598,66,67,526,256
Person #15012,348,1428,118,2,630,58,63,499,277
Person #15022,345,1469,129,2,568,64,74,531,269
Person #15037,285,1333,128,2,602,61,60,511,247
Person #15041,553,1608,150,2,742,70,78,552,334
Person #15042,490,1542,179,2,684,65,75,505,326
Person #15045,530,1564,171,2,734,79,78,562,313
Person #15046,318,1413,152,1,567,59,70,520,248
Person #15053,551,1595,169,2,722,68,77,535,342
Person #15056,455,1533,161,2,627,70,79,521,305
Person #15065,226,1255,94,2,525,50,58,519,227
Person #15071,209,1176,88,2,517,50,61,491,208
Person #15074,222,1178,107,2,502,47,58,500,240
Person #16,400,1468,160,2,652,61,75,512,297
Person #16001,428,1554,158,1,627,63,75,532,268
Person #16004,427,1516,157,1,659,64,71,546,292
Person #16006,715,1695,174,1,818,70,76,579,345
Person #16009,353,1436,155,1,645,56,73,571,248
Person #16012,470,1432,151,1,772,65,77,541,289
Person #16015,476,1545,161,1,656,66,78,554,289
Person #16018,421,1533,168,1,651,67,77,538,277
Person #16021,424,1518,164,2,665,62,67,531,318
Person #16024,405,1635,160,2,611,62,75,556,275
Person #16027,487,1554,165,2,689,63,71,522,331
Person #16036,414,1578,152,2,617,59,68,547,294
Person #16039,393,1508,157,2,649,64,68,555,289
Person #16040,447,1537,173,2,668,72,69,516,329
Person #16043,670,1602,157,2,784,71,82,577,386
Person #16046,564,1581,170,2,746,67,74,546,351
Person #16049,431,1515,178,2,643,63,67,534,322
Person #16052,530,1604,158,2,733,73,76,533,326
Person #16054,378,1530,156,2,632,65,72,521,292
Person #16058,382,1406,155,2,648,58,66,518,286
Person #16067,638,1686,169,1,715,81,93,582,316
Person #16070,506,1515,165,1,773,63,80,538,313
Person #16076,377,1544,164,1,603,68,79,550,272
Person #16079,490,1647,160,1,721,75,83,519,296
Person #17001,274,1265,120,2,557,59,59,530,234
Person #17004,548,1563,130,2,702,66,79,568,333
Person #17007,395,1420,119,2,726,64,69,546,285
Person #17013,469,1504,115,2,746,72,69,560,324
Person #17016,391,1415,133,2,682,65,68,521,285
Person #17019,308,1320,115,2,566,61,65,518,265
Person #17023,362,1419,134,1,594,60,74,548,261
Person #17026,375,1400,129,1,615,59,69,552,274
Person #17029,315,1254,103,1,643,53,65,517,242
Person #17032,273,1285,95,1,548,49,66,500,245
Person #17038,356,1433,113,1,590,61,75,582,263
Person #17040,321,1387,127,1,569,61,70,529,262
Person #17043,323,1381,124,1,567,55,73,517,257
Person #17046,279,1254,95,1,577,56,67,520,233
Person #17049,293,1316,103,1,569,56,69,540,246
Person #17052,405,1250,87,1,789,54,68,532,308
Person #17057,301,1339,124,1,558,57,70,537,238
Person #17060,222,1212,85,1,509,52,58,491,229
Person #17066,277,1280,112,1,529,54,65,500,216
Person #17069,278,1294,105,1,570,53,71,516,230
Person #17072,360,1332,84,2,683,53,66,520,272
Person #17075,350,1285,91,2,657,55,65,562,248
Person #17078,234,1289,106,2,487,53,63,506,215
Person #20001,255,1279,86,1,527,52,61,540,202
Person #20004,250,1275,95,1,552,57,65,519,226
Person #20007,401,1496,158,1,653,64,75,545,283
Person #20023,343,1344,100,1,595,59,68,529,247
Person #20026,220,1209,105,1,501,56,62,486,214
Person #20029,414,1406,136,1,687,66,78,551,283
Person #20032,340,1407,112,1,635,56,64,529,253
Person #20035,333,1309,92,1,625,56,68,539,256
Person #20036,519,1611,162,2,753,66,81,567,316
Person #20039,463,1522,163,2,634,64,75,559,299
Person #20042,514,1550,159,2,708,68,78,556,319
Person #20048,392,1476,151,2,665,61,75,534,267
Person #20053,404,1564,162,1,598,66,81,554,273
Person #20056,391,1527,148,1,645,64,73,560,281
Person #20059,434,1598,168,1,640,68,80,545,281
Person #20065,419,1587,173,1,622,69,82,542,265
Person #2009,510,1582,172,2,719,64,70,556,314
Person #2025,583,1701,178,2,746,76,75,540,347
Person #2043,395,1546,172,1,615,66,84,531,268
Person #21,378,1485,166,2,626,66,75,540,294
Person #21002,220,1248,101,2,494,52,60,494,231
Person #21005,250,1347,130,2,528,56,64,494,231
Person #21008,295,1373,135,2,596,58,62,512,237
Person #21011,446,1500,156,2,660,64,77,551,297
Person #21014,441,1552,147,2,639,66,73,549,289
Person #21016,350,1417,140,2,611,62,60,516,275
Person #21019,483,1539,153,2,649,60,65,545,328
Person #21022,540,1692,175,2,700,72,74,516,320
Person #21024,628,1681,164,2,780,70,77,544,367
Person #21027,373,1484,173,2,580,67,67,514,302
Person #21030,357,1467,149,2,586,63,73,532,286
Person #21033,527,1540,146,2,731,68,69,542,328
Person #21038,324,1363,140,2,555,56,64,524,242
Person #21041,433,1569,151,2,656,64,70,542,326
Person #21043,430,1573,163,2,629,70,72,532,308
Person #21046,588,1578,174,2,751,71,77,530,351
Person #21049,414,1684,163,2,629,65,77,521,301
Person #21050,337,1456,152,1,586,61,72,517,263
Person #21053,394,1446,163,1,621,60,78,528,276
Person #21058,218,1248,91,1,462,54,63,537,212
Person #21061,227,1229,100,1,549,50,63,494,222
Person #21064,235,1284,108,1,527,54,57,499,224
Person #21067,259,1340,107,1,517,53,64,502,228
Person #21071,363,1335,116,1,671,54,67,528,278
Person #21074,344,1452,138,1,625,60,67,532,265
Person #22005,435,1476,169,1,709,62,77,559,291
Person #22008,655,1719,178,1,704,81,87,554,331
Person #22014,367,1438,154,1,617,66,70,526,274
Person #22068,251,1298,102,1,523,54,68,535,227
Person #23001,322,1387,142,1,582,55,71,528,269
Person #23004,400,1414,131,1,664,60,71,512,284
Person #23007,301,1351,135,1,572,55,69,516,242
Person #23012,319,1434,149,1,546,53,68,543,250
Person #23015,266,1259,114,1,558,50,68,531,230
Person #23018,288,1282,111,2,561,53,61,501,259
Person #23021,420,1544,137,2,640,62,75,551,289
Person #23024,344,1413,134,2,591,60,66,535,266
Person #23027,256,1249,84,2,585,53,62,524,235
Person #23033,217,1169,86,2,565,52,59,514,220
Person #23036,288,1287,97,2,571,54,62,532,268
Person #23042,393,1445,134,2,639,61,70,531,296
Person #23045,413,1318,120,2,726,53,67,538,296
Person #23048,274,1356,117,2,616,64,59,542,249
Person #23051,292,1299,94,2,555,51,65,546,263
Person #23057,344,1318,98,2,698,51,67,553,280
Person #24031,601,1724,171,1,697,70,82,571,313
Person #24034,410,1454,162,1,666,67,73,534,285
Person #24038,711,1592,170,1,897,77,88,572,340
Person #24060,512,1605,146,1,699,69,80,553,312
Person #24063,585,1645,158,1,806,65,80,539,330
Person #24069,315,1375,143,1,606,54,68,540,261
Person #24072,298,1398,131,1,564,52,67,510,248
Person #24075,511,1518,140,1,684,70,82,535,312
Person #24078,390,1444,169,1,686,65,69,513,268
Person #25,341,1399,152,2,646,62,70,508,284
Person #25001,493,1601,148,2,679,65,74,533,307
Person #25004,473,1535,157,2,650,66,66,536,311
Person #25008,449,1538,154,2,670,67,70,520,305
Person #25011,575,1624,155,2,692,67,73,545,357
Person #25015,488,1561,171,2,680,64,72,530,325
Person #25018,492,1631,170,2,621,66,71,556,319
Person #25021,493,1644,167,2,726,66,71,544,338
Person #25024,622,1675,165,2,717,71,77,540,347
Person #25030,500,1585,159,2,637,73,74,533,313
Person #25031,600,1717,171,2,707,76,82,552,338
Person #25034,600,1625,170,2,712,65,72,545,360
Person #25037,409,1505,154,2,633,69,75,539,280
Person #25040,370,1493,155,2,569,69,71,504,281
Person #25043,588,1583,164,1,752,62,86,553,323
Person #25046,452,1542,152,1,668,66,83,529,294
Person #25047,409,1583,167,1,613,67,71,573,292
Person #25050,540,1653,174,1,705,69,76,547,317
Person #25053,596,1734,171,1,688,72,86,567,320
Person #25056,658,1692,161,1,764,76,83,554,336
Person #25059,486,1645,169,1,663,70,80,523,293
Person #25063,414,1576,165,1,590,70,80,539,270
Person #25066,467,1511,159,1,658,67,81,527,307
Person #25069,486,1546,160,1,757,64,78,567,305
Person #25071,378,1493,165,1,631,62,73,548,269
Person #26005,412,1475,141,1,673,69,74,531,272
Person #26008,285,1345,134,1,538,55,67,509,234
Person #26012,392,1483,148,2,609,65,71,545,271
Person #26015,598,1646,154,2,762,72,76,552,352
Person #26018,366,1496,122,2,630,65,71,549,259
Person #26021,331,1354,119,2,641,58,68,514,276
Person #26024,327,1343,134,2,632,63,65,533,259
Person #26030,418,1442,131,1,646,66,78,547,291
Person #26033,449,1381,124,1,832,56,67,561,295
Person #26038,382,1445,126,2,663,60,73,522,283
Person #26041,609,1624,172,1,708,67,77,586,318
Person #26047,383,1385,130,1,629,62,73,534,267
Person #26050,564,1560,153,2,767,67,68,545,322
Person #26053,389,1473,157,2,617,67,67,519,285
Person #26054,421,1559,155,2,612,61,70,530,296
Person #26076,242,1247,88,1,550,60,65,546,220
Person #27,496,1520,145,2,783,74,77,566,322
Person #27075,260,1283,95,1,560,55,61,527,242
Person #28008,406,1548,161,1,620,67,75,534,280
Person #28011,651,1698,171,1,821,75,87,542,342
Person #28012,386,1484,137,1,611,67,74,551,285
Person #28015,250,1258,110,2,527,47,61,519,248
Person #28018,505,1623,148,1,681,68,74,535,314
Person #28021,557,1604,169,1,768,66,80,567,337
Person #28024,324,1320,135,1,654,55,64,542,265
Person #28029,411,1477,151,1,637,62,74,562,278
Person #28032,472,1590,170,1,684,66,78,557,293
Person #28035,305,1407,132,1,570,53,70,527,237
Person #28038,342,1411,138,1,608,60,69,525,268
Person #28042,483,1612,164,1,706,69,74,538,293
Person #28054,382,1548,144,1,664,66,77,554,261
Person #28060,478,1520,132,2,710,75,72,524,310
